NodeTitle,SizeValue,ExpandCSV,DataCSV,FullDataCSV,ModifiersCSV,DataQuery,NodeColor,ShowValue
Samsung SPH-A640,2.0206,,prod-183.data.csv,,prod-183.mod.csv,,,0
MM-A900 by Samsung,3.0327,,prod-184.data.csv,,prod-184.mod.csv,,,0
M320 by Samsung,2.1736,,prod-189.data.csv,,prod-189.mod.csv,,,0
Samsung Exclaim.,3.8005,,prod-194.data.csv,,prod-194.mod.csv,,,0
Samsung Reclaim Refurbished,3.7143,,prod-225.data.csv,,prod-225.mod.csv,,,0
Samsung Seek.,2.3963,,prod-3559.data.csv,,prod-3559.mod.csv,,,0
Samsung Restore.,2.2941,,prod-3565.data.csv,,prod-3565.mod.csv,,,0
M360 by Samsung,2.9833,,prod-3659.data.csv,,prod-3659.mod.csv,,,0
Samsung Trender,1.7031,,prod-3754.data.csv,,prod-3754.mod.csv,,,0
M370 by Samsung,3.4559,,prod-3813.data.csv,,prod-3813.mod.csv,,,0
Samsung Array,2.5412,,prod-3851.data.csv,,prod-3851.mod.csv,,,0
Samsung M400,2.9817,,prod-3856.data.csv,,prod-3856.mod.csv,,,0
