NodeTitle,SizeValue,ExpandCSV,DataCSV,FullDataCSV,ModifiersCSV,DataQuery,NodeColor,ShowValue
Samsung Instinct,3.2398,,prod-201.data.csv,,prod-201.mod.csv,,,0
Samsung Highnote,3.4459,,prod-199.data.csv,,prod-199.mod.csv,,,0
Samsung Instinct HD.,2.8545,,prod-235.data.csv,,prod-235.mod.csv,,,0
Samsung Intercept.,2.1094,,prod-3567.data.csv,,prod-3567.mod.csv,,,0
Samsung EpicTM 4G,3.8614,,prod-3612.data.csv,,prod-3612.mod.csv,,,0
Samsung Transform,2.0888,,prod-3644.data.csv,,prod-3644.mod.csv,,,0
Samsung Nexus S 4G from Google,3.3405,,prod-3741.data.csv,,prod-3741.mod.csv,,,0
Samsung Replenish,2.5671,,prod-3743.data.csv,,prod-3743.mod.csv,,,0
Samsung Conquer,2.9248,,prod-3759.data.csv,,prod-3759.mod.csv,,,0
Samsung Galaxy STM ll, Epic 4G Touch,3.8493,,prod-3782.data.csv,,prod-3782.mod.csv,,,0
Samsung Transform Ultra,2.8812,,prod-3800.data.csv,,prod-3800.mod.csv,,,0
Samsung Galaxy Nexus 4G LTE,3.8031,,prod-3826.data.csv,,prod-3826.mod.csv,,,0
Samsung Galaxy S III - 32GB,4.1805,,prod-3835.data.csv,,prod-3835.mod.csv,,,0
Samsung Galaxy S III - 16GB,4.2366,,prod-3836.data.csv,,prod-3836.mod.csv,,,0
Samsung Galaxy Victory 4G LTE,3.65,,prod-3852.data.csv,,prod-3852.mod.csv,,,0
Samsung Galaxy Note II,4.7323,,prod-3859.data.csv,,prod-3859.mod.csv,,,0
Samsung Galaxy Victory 4G LTE - As You Go,5.0,,prod-3876.data.csv,,prod-3876.mod.csv,,,0
